zespol,slupek
5025,02
5032,01
5032,02
5034,04
5214,01
7033,02
7085,01
5031,02
5065,02
7016,04
6047,01
5063,03
5024,02
7040,03
7013,04
7014,01
6223,01
5061,01
5106,01
5028,05
5026,02
5020,01
7069,01
7013,15
7092,01
5002,02
7015,01
7076,03
5026,01
5102,01
5106,02
5025,01
5028,01
7033,01
5020,02
5030,01
5194,02
5031,01
5077,02
7040,04
5062,03
5003,01
R-10,99
5065,01
5107,02
5033,02
5061,02
5077,01
5002,01
7085,02
R-11,99
5062,01
5034,01
7076,06
6047,04
5033,01
5107,01
5102,02
5063,01
7070,02
7016,03
5064,03
7015,02
7014,02
7070,01
6223,02
5024,01
5064,04
5030,02
7069,04
6048,06
R-11,00
5028,06
5003,10
7071,04
5214,02
5028,02
7077,01
