zespol,slupek
2065,02
2114,01
R-10,99
2294,01
2279,02
1003,01
2110,01
2059,04
2115,01
2015,06
2111,02
2014,01
2114,02
2277,01
2322,01
7085,07
1003,05
7047,02
2003,02
2006,05
2067,01
1001,02
2004,01
2281,01
7015,02
R-10,98
2005,02
2278,01
1002,02
7001,02
7088,01
2069,01
2011,08
2110,02
2112,01
2012,02
2345,02
7002,25
2481,02
2059,01
1163,01
2346,02
2061,02
2111,01
7014,03
2293,03
2113,04
2318,01
R-10,00
2003,01
2013,02
2058,02
2011,05
2248,02
2115,02
2116,04
2293,04
2112,02
7047,01
2064,02
2280,01
2014,02
2013,01
2279,01
2058,01
7016,02
2274,01
2278,02
2271,01
2006,06
2317,01
2295,01
7086,01
2348,02
R-10,90
2277,02
2349,02
1002,01
2004,02
2281,03
2274,02
1163,02
2109,03
2060,02
2248,01
2070,01
2066,02
2347,02
2449,01
2306,02
2321,01
2063,02
2109,01
2002,02
2116,01
2062,02
2015,04
2001,03
2275,04
2015,01
2280,02
2068,01
1001,01
7099,10
2005,01
2002,01
2012,01
2276,02
2001,04
2271,02
