zespol,slupek
6099,02
6048,01
6040,02
1147,03
1083,01
6043,01
6073,02
6059,20
6094,05
1153,01
1156,01
6050,02
1157,02
1147,04
6041,02
6099,01
1013,03
1162,06
1157,04
1158,03
6041,01
6061,01
6083,01
6049,02
6046,01
6046,05
1013,04
1159,02
6096,02
1156,02
1083,02
6016,02
1159,01
6098,01
6045,01
6042,02
1153,02
6047,02
6016,01
6047,04
6003,05
6074,02
6083,02
6017,01
6059,03
6015,04
6015,02
6059,01
6057,01
6094,06
1155,02
6223,01
6049,01
6026,05
6040,05
6003,09
6045,02
6044,02
6017,04
1155,01
6050,01
6026,08
6018,01
6048,02
6061,02
6098,02
6003,06
6223,02
6145,01
6057,04
1152,05
1158,01
1152,01
6026,06
