zespol,slupek
1435,01
1705,01
1540,02
1249,03
1536,01
1536,02
1242,01
1588,02
1708,01
1543,02
1389,02
1246,02
1537,81
1246,01
1534,01
1544,01
1241,02
1533,01
1713,03
1542,02
1700,04
1733,02
1708,02
1700,02
1540,01
1779,01
1733,01
1490,02
1543,01
1743,01
1533,02
1393,03
1702,01
1748,01
1534,02
1436,02
1435,02
1490,01
1393,02
1702,02
1437,02
1240,05
1779,02
1249,01
1748,02
1390,02
1541,01
1393,01
1241,01
1535,02
1713,02
1537,01
1705,02
1746,02
1238,01
1436,01
1390,01
1395,02
1542,01
1391,01
1535,01
1437,01
1240,04
1709,01
1714,01
1538,02
1541,02
1706,01
1767,02
1714,02
1709,02
1238,02
1407,02
1538,03
1240,02
1767,01
1389,03
1242,02
