zespol,slupek
7014,04
6057,02
6013,02
7023,02
6025,02
6045,02
6016,02
5158,02
6027,02
6057,04
6013,05
5087,02
6014,02
R-11,99
7016,02
6059,01
7099,01
5155,03
7083,03
R-11,00
7015,01
6046,01
6017,01
7099,02
6045,01
5159,02
5158,01
7002,11
6044,02
6091,04
6090,02
6023,03
7023,01
6017,04
6040,02
6070,01
6026,01
7083,04
7017,03
5087,01
6041,01
6043,01
6090,01
7001,01
6042,02
6015,01
6088,02
6059,04
5157,01
7001,02
6074,02
6145,01
6046,06
7016,03
5155,04
6221,02
7024,02
6024,02
6023,02
6040,06
5157,02
6070,02
5159,01
6041,02
5086,02
6088,01
6014,01
6015,02
7002,23
7015,02
6018,01
6025,01
6016,01
6026,02
6024,01
6073,02
6091,01
6027,01
7014,03
