zespol,slupek
2210,01
2212,02
2158,01
2249,01
2208,02
2453,01
2151,02
1231,01
2202,01
2055,02
2213,01
2152,02
2255,02
2207,02
2131,01
2205,01
2453,02
2452,02
2460,01
2203,01
2001,04
2206,01
2052,03
2202,02
2204,02
2399,02
2054,01
2460,02
2048,07
2253,01
2201,02
2151,01
2120,01
2002,01
2255,01
1231,02
2205,02
2052,04
2209,02
2198,02
2055,04
1232,01
2204,01
2208,01
2212,01
2253,02
2399,01
2200,01
2249,02
2001,09
2159,01
R-10,99
2054,02
2452,01
2152,01
2053,01
2258,01
2052,02
2206,02
2153,01
2002,06
2200,02
R-10,00
2459,01
2153,02
2211,02
2258,02
2053,02
2199,01
2210,02
R-10,98
2157,01
2201,01
2156,01
2131,02
2198,01
1001,01
2203,02
2052,01
2459,02
2214,02
2214,01
2211,01
2209,01
2213,02
2199,02
2207,01
