zespol,slupek
3384,01
3188,02
3188,01
3193,01
3050,03
3052,02
3225,01
3314,01
3400,06
3222,01
3441,02
3051,03
3225,02
3282,02
3423,01
3306,02
3304,02
3382,04
3421,02
3224,01
3441,01
R-07,99
3422,02
3421,01
3423,02
3287,04
3055,02
R-07,00
3226,01
3224,02
3227,02
3444,02
3431,02
3444,01
3168,04
3168,03
3431,01
3164,01
3314,02
3173,01
3320,02
3223,01
3382,01
3226,02
3051,04
3282,04
3320,03
3164,02
3334,02
3193,02
3050,04
3422,01
3287,01
3334,01
3222,02
3050,01
3173,02
3052,04
3288,02
3282,03
3223,02
3304,01
3384,02
3055,01
3164,03
3340,02
3227,01
3288,01
3306,01
