zespol,slupek
2004,03
2002,04
6005,03
2012,04
6003,10
R-04,00
7055,04
6008,03
1001,06
1006,06
1001,03
5003,04
6007,03
1028,02
7019,05
5084,02
6005,04
6013,03
1005,03
6075,03
2002,03
2007,02
6039,03
7099,10
5159,03
6011,04
7054,05
1004,01
5086,03
2013,03
5038,03
7053,02
2003,04
7099,09
2003,03
6003,11
6094,04
6001,04
1001,04
6010,04
7047,02
5087,04
6005,05
2009,02
6061,06
2004,04
2001,06
6011,03
7047,01
5003,03
7055,03
1003,08
6006,06
6059,12
5003,08
2011,04
1030,02
1005,04
6075,04
5084,01
6061,07
6039,04
6061,08
2001,05
R-02,00
R-01,00
5087,03
6001,03
1006,05
5159,04
7054,04
R-02,99
1468,01
7053,01
7091,10
6014,04
7085,05
2014,07
1006,04
2005,04
1003,03
2014,06
6094,03
6007,04
1002,04
1004,02
5002,04
2008,05
5086,04
2008,04
5085,02
6013,04
5004,04
2011,03
6004,03
2010,04
6002,03
6008,04
2006,03
2010,03
6003,12
1163,02
1164,03
6002,04
1028,01
6014,03
1003,07
6059,09
5004,03
1163,01
2005,03
7091,09
2007,01
2013,04
7085,06
6010,03
2006,04
7019,06
R-04,99
1164,04
2012,03
R-01,99
2009,01
6006,05
5002,03
6061,05
1029,02
1006,03
2014,04
1002,03
