zespol,slupek
3120,07
4046,01
4109,02
4213,02
R-11,99
5161,02
4092,02
6025,01
3239,01
1195,01
6015,04
3279,03
4005,06
3242,01
6024,02
5057,01
4092,03
1253,02
5059,01
3249,01
6050,02
5063,01
4112,02
4049,01
4212,01
5077,02
6061,01
5064,04
5064,01
3011,05
6015,03
4005,05
6023,02
4045,02
5034,03
4112,01
6059,03
4213,01
1250,02
3241,02
4047,02
5034,04
3249,02
5106,01
5061,01
4051,01
3279,02
4154,02
5161,01
5062,02
3120,08
1277,02
5065,02
5058,01
3248,01
5062,01
4090,02
4006,01
5065,01
5107,01
4214,01
R-07,99
6024,01
5012,06
3240,02
6025,02
4090,01
4046,02
R-11,00
3255,01
6059,01
4214,02
5106,02
1469,01
3338,01
4212,02
6026,01
R-07,00
4111,01
5077,01
1195,02
4033,02
6026,08
6046,06
5012,03
1250,01
4090,04
4049,04
4032,04
3243,06
1256,02
3298,01
1298,01
6046,05
6047,01
3243,01
6050,01
1253,07
6057,04
1256,03
6057,01
5060,02
3127,04
1253,01
3127,02
3240,06
3240,01
4091,01
1122,02
4051,02
3248,02
1277,01
3011,06
3390,02
4154,01
3239,06
5060,01
5057,02
5059,02
4048,02
4033,03
3255,02
3120,06
3242,02
3338,02
3298,02
4108,02
6047,02
4091,02
3326,01
3390,01
6023,03
5061,02
5058,02
4047,01
4048,01
3326,02
6061,02
4045,03
1469,02
1298,02
5063,03
4113,01
4113,02
3241,01
5107,02
