zespol,slupek
2097,01
2101,01
2102,01
2030,01
2061,01
2020,04
2104,01
7071,02
7002,16
R-10,90
2100,03
2062,01
2026,01
2060,02
2099,01
2027,02
2059,04
7013,01
2064,01
2058,01
2104,02
2029,01
2096,01
2020,03
7011,01
2059,01
2098,02
2099,02
2102,02
2103,01
7012,01
7002,25
2025,02
2320,01
2031,02
7012,02
2032,01
2027,01
2125,01
7071,01
7037,06
7013,06
2061,02
7009,01
2098,01
2025,01
2028,02
2103,02
2064,05
2125,02
2101,02
2060,01
2063,02
2015,03
7011,02
7002,11
2028,01
7009,02
7006,08
2096,02
2024,01
2100,04
R-10,99
2029,02
R-11,99
2031,01
7006,07
2062,02
R-11,00
2026,02
7002,29
2024,02
2015,04
2058,02
7076,02
2097,02
7037,55
7076,01
2030,02
