zespol,slupek
3385,04
3280,02
R-07,99
3318,02
3094,01
3152,02
3147,02
3045,03
3092,02
3148,01
3196,01
3083,01
3385,03
3143,04
3066,03
3467,01
3317,02
3319,01
3045,04
3082,02
3197,02
3280,01
3197,01
3429,01
3064,01
3468,02
3301,02
3139,03
3318,01
3044,02
3144,01
3317,01
3134,03
3299,03
3148,02
3065,07
R-07,00
3033,03
3147,01
3467,81
3150,01
3093,02
3278,01
3083,02
3196,02
3066,02
3064,04
3319,02
3208,03
3138,04
3198,02
3082,01
3391,01
3278,02
3138,05
3139,02
3391,02
3134,04
3468,01
3198,01
3094,06
3092,01
3429,02
3152,01
3149,02
3065,02
3149,01
3208,04
3144,02
3150,02
3045,02
3093,01
3033,55
