zespol,slupek
3328,01
4260,02
4807,01
4260,01
3327,02
4251,01
4253,01
4805,02
3332,01
4808,01
4805,01
4848,02
4804,02
4251,02
4162,01
4804,01
3329,02
4274,02
4064,01
3169,07
4250,02
4274,01
4135,01
4806,02
3960,02
4812,01
3960,01
4809,01
4806,01
4807,02
3328,02
4273,01
3802,02
4271,02
3329,01
4808,02
4809,02
4064,03
3811,02
3327,03
4811,01
4810,02
4875,01
4271,03
3370,01
4811,02
3800,01
3169,03
4812,02
3332,02
3801,02
4064,04
4875,02
4253,02
3321,01
3800,02
3811,01
4810,01
4801,01
4135,02
3464,01
3802,01
4273,02
3801,01
3464,02
4848,01
