zespol,slupek
5077,02
4004,01
5034,01
4004,02
5065,01
7002,29
6223,01
5161,01
R-07,99
4003,01
5031,02
5062,01
5032,02
5043,05
5096,01
5194,02
4003,02
6024,02
6049,01
5077,01
5031,01
5064,01
4045,06
5028,03
6046,06
R-13,99
5063,01
5032,01
6048,05
5065,02
5043,06
4121,01
4045,03
6025,02
5033,02
4052,01
5007,05
5161,10
5096,02
5160,01
5063,02
6023,02
5062,02
4001,03
4001,04
5061,01
5061,02
5161,02
6047,02
5028,02
4005,01
5033,01
5030,01
5097,02
5064,02
R-13,00
5007,06
5097,01
5020,01
5020,02
5030,02
4005,06
6026,05
4154,02
6047,01
7002,02
4052,02
5034,04
4154,01
5160,02
