zespol,slupek
7013,06
3032,52
3044,02
3152,01
3196,01
R-07,99
3147,01
3043,02
3045,03
3148,01
3150,01
3149,01
3033,56
7036,01
3065,05
3042,01
3027,01
3032,01
3044,01
3001,56
3066,01
3068,01
7006,05
3278,01
3034,52
3067,01
3198,01
7013,01
3030,01
3034,51
3043,01
3031,52
7002,11
3036,01
3044,10
3082,02
3026,55
3028,51
3030,02
3066,02
3042,04
3001,58
7011,01
3480,51
7012,02
7011,02
3035,52
3197,01
3429,01
7002,27
7006,08
3317,01
7012,01
3027,52
3035,01
3033,51
R-07,00
3318,01
3319,01
7002,16
3083,02
3028,52
3026,52
