zespol,slupek
6121,02
6812,02
6193,01
6036,01
5130,02
6407,02
6150,01
6125,02
6119,03
6034,01
5800,02
6138,02
6140,02
6138,01
6120,02
6211,02
6826,01
6127,01
6225,02
6808,01
6807,01
6108,03
5191,02
6808,02
6124,02
5191,01
6411,01
6126,02
6034,02
6123,01
6101,01
6201,02
6185,02
5129,03
6119,01
6122,01
6124,01
6150,02
6826,02
6126,01
6407,01
6810,02
6810,01
6101,02
6149,02
5129,02
6812,01
5803,51
6201,01
5802,02
6184,04
6125,01
6184,02
5197,01
6807,02
6102,02
5801,01
5801,02
6035,01
6115,01
6809,01
6140,01
5197,02
6123,02
6806,01
6102,01
6141,02
5802,01
6806,02
6037,02
6115,02
6035,02
5800,01
6038,01
6193,02
6121,01
6149,01
6122,02
6127,02
6108,04
6037,01
6225,01
5130,01
6144,01
6411,02
6038,02
6811,01
6809,02
6120,01
6141,01
6168,01
6036,02
6185,01
