zespol,slupek
5013,02
5028,05
5020,01
5046,02
5009,08
5028,06
5014,02
7014,02
5059,01
5030,03
5108,01
5058,04
5014,01
5047,01
5047,03
5045,01
5020,02
7016,04
5035,01
5059,02
5192,01
5012,01
5021,01
5058,02
5013,01
5001,02
5025,04
7085,02
7014,01
5060,02
5098,02
5098,01
7013,06
5002,01
5099,02
5028,02
5109,01
5004,02
5004,01
5002,02
5001,01
5026,01
5108,02
5109,02
5060,01
5192,04
5099,01
5034,02
7016,03
7015,02
5045,02
5012,04
7002,29
5100,03
7013,04
5010,04
5050,03
5035,02
5003,01
5003,02
5021,02
5046,01
7015,01
5030,01
5100,02
5050,53
5010,03
5009,02
5026,02
7085,01
5034,03
5028,01
