zespol,slupek
3382,02
3043,01
3045,02
3188,01
3314,02
3045,01
3046,01
3177,01
3309,01
3230,01
3193,01
3180,02
3178,01
7090,01
3038,01
3182,01
3101,02
3228,01
3231,02
3441,01
3184,02
3334,01
3231,01
3229,01
3181,01
3114,01
3040,01
3230,02
3229,02
3179,01
7002,30
3042,01
3041,02
7002,05
3052,04
3037,02
3180,01
3304,01
3193,02
3046,02
3110,01
3044,02
3441,02
3334,02
3314,01
3183,01
3114,02
3110,02
3101,01
3044,01
3228,02
3183,02
3232,02
7093,01
3182,03
3443,01
3184,01
3181,02
3051,02
3039,04
3111,02
3179,02
3177,02
3111,01
3043,02
R-07,99
R-07,00
3009,04
3039,03
3178,02
3051,01
3177,71
3304,02
3052,03
7094,01
3047,02
3188,02
3037,01
3009,14
3038,02
7093,02
3232,01
7094,02
3042,52
3309,02
3041,01
3040,02
3047,51
3382,01
7090,02
