zespol,slupek
3338,01
3008,01
7008,02
3207,02
3298,01
3287,04
3136,01
3287,02
3127,04
R-07,00
3120,07
3121,04
3279,02
3288,02
3006,02
3120,04
3282,03
3006,01
3001,04
3209,02
7002,16
7010,02
7013,06
3122,02
3132,03
3190,02
7012,01
3009,02
3132,01
3201,01
3002,02
3009,01
3008,02
7002,02
3003,02
3200,02
7011,02
3207,01
3127,02
3288,01
3005,01
3120,03
3209,01
3298,02
7002,27
7013,01
3200,01
3201,02
3003,01
3004,01
R-07,99
3120,08
3002,51
3122,03
3279,03
3136,04
3208,01
3004,02
3208,02
3190,01
3007,02
7006,05
7012,02
R-13,99
3007,01
3005,02
3011,05
7011,01
3001,01
7036,01
3011,02
3282,02
3121,01
3338,02
3400,04
