zespol,slupek
1229,02
1847,01
1814,82
1806,01
1844,02
1302,03
1230,04
1719,02
1264,01
1845,01
1820,03
1813,82
1379,03
1817,02
1227,01
1230,02
1227,02
1806,02
1813,02
1807,01
1184,01
1805,02
1184,02
1800,01
1311,03
1808,02
1264,02
1379,02
1814,01
1229,01
1844,01
1719,01
1208,01
1847,82
1813,01
1228,02
1809,02
1817,01
1818,01
1804,02
1311,01
1808,01
1815,01
1846,01
1814,81
1701,02
1845,02
1378,02
1807,02
1814,02
1302,02
1812,01
1811,02
1819,01
1367,02
1820,83
1208,02
1228,01
1804,01
1810,02
1810,01
1847,02
1813,81
1818,02
1377,03
1378,01
1805,01
1377,02
