zespol,slupek
1906,01
1929,02
1901,01
1902,02
1904,02
3904,01
4920,01
3902,02
5908,01
1929,01
4913,01
1901,02
5904,01
1909,01
3903,02
1910,02
1907,02
1930,01
3901,02
4918,01
5904,02
5902,08
5902,07
1908,02
1910,01
5907,01
1908,01
5908,02
1906,02
7903,01
5903,02
3905,02
4913,02
1902,01
1904,01
1903,02
3901,01
1907,01
5903,01
1909,02
3902,01
1905,02
3904,02
4917,01
5907,02
4918,02
4920,02
1905,01
1903,01
7903,02
3903,01
4917,02
