zespol,slupek
1992,01
1266,02
1877,01
1423,02
1884,01
1873,01
1874,01
1423,01
1988,02
1123,01
1267,01
1890,02
1297,02
1311,03
1372,01
1888,02
1894,01
1890,01
1863,01
1898,01
1896,01
1371,01
1367,02
1415,01
1991,02
1988,01
1868,01
1893,01
1191,03
1885,02
1311,01
1415,02
1991,01
1891,01
1835,01
1874,02
1898,02
1123,02
1416,01
1370,02
1896,02
1870,02
1883,01
1846,01
1372,02
1371,02
1885,01
1869,02
1897,01
1899,01
1416,02
1894,02
1872,01
1297,01
1875,51
1877,02
1891,02
1897,02
1899,02
1302,01
1883,02
1870,01
1888,01
1800,02
1992,02
1266,04
1370,01
1872,02
1302,02
1871,02
1869,01
1863,02
1191,04
1873,02
1871,01
1884,02
