zespol,slupek
5087,02
6090,01
5157,02
R-10,99
3064,01
7049,02
7046,01
7044,01
7042,01
3067,02
3026,52
6129,01
7083,03
7050,01
3085,01
5157,01
3058,01
7038,02
6221,02
5159,02
3044,07
6090,02
7046,02
6155,01
7040,01
7078,01
6047,04
7045,01
7048,02
6048,03
3065,01
6093,02
7044,02
6048,05
3060,01
3065,02
7023,02
6223,02
6131,02
3067,01
6047,03
6131,01
5158,02
5159,01
7095,02
3068,02
7048,01
7095,01
3059,01
3062,01
6129,02
7017,03
3058,54
7037,01
7023,01
5155,04
7083,04
5087,01
R-13,00
7050,02
6155,03
7042,02
3059,02
6091,01
6093,01
7049,01
6091,02
3044,04
7017,04
R-19,00
3063,01
3066,02
3068,01
6223,01
6132,01
3061,02
3026,53
3066,01
7040,02
5158,01
R-19,99
3064,02
7045,02
6132,02
5155,03
3085,52
7078,02
R-10,00
3084,51
5086,02
R-13,99
3063,02
3084,02
3060,02
