zespol,slupek
2044,01
4005,01
4119,03
2011,01
2040,02
4338,02
R-10,00
2131,01
4004,01
2048,05
2011,02
2043,01
2037,01
2035,01
2047,02
2008,01
2134,02
2040,01
4118,01
4118,04
2048,01
2008,03
2047,01
2042,02
4005,06
2039,01
2042,01
4004,02
7013,06
R-10,90
2041,01
7002,02
2008,22
2015,01
2045,01
4120,01
7002,01
2134,01
2012,02
2043,02
R-11,99
2046,02
4001,04
2036,01
2035,02
2041,02
2018,01
2045,02
2038,01
2037,02
R-10,99
2014,02
2039,02
2038,02
2046,01
2014,01
2018,02
2012,01
2052,03
7041,02
2036,02
2044,02
7041,01
2015,06
7013,15
R-10,98
4003,01
4003,02
2008,23
2131,02
R-11,00
4001,03
