zespol,slupek
3094,02
5050,03
3279,01
3097,02
4085,01
4090,02
3243,01
3251,03
3064,04
5049,02
3250,01
3011,05
5108,02
5012,06
3250,02
4089,01
R-11,00
3254,01
3065,02
R-07,00
5047,02
4087,02
5049,01
5108,01
3279,02
3093,01
4090,04
4085,02
3243,06
3096,02
5048,02
4088,01
4011,06
3092,02
5109,01
3248,01
3092,01
3094,01
4089,02
3011,06
5050,71
4213,01
5050,01
R-11,99
4214,02
4049,03
4092,03
4092,02
3096,01
4037,04
3098,02
3039,01
4212,02
4037,03
3249,01
4214,01
3337,01
4091,01
3039,02
3243,02
5058,04
5048,01
5057,01
3098,05
5012,03
5109,02
R-07,99
4049,04
3033,55
4091,02
3033,03
4011,05
5047,03
5058,01
3065,03
4212,01
3093,02
3279,04
4090,01
5057,02
3064,01
4213,02
4088,02
3097,01
3254,02
4084,01
3249,02
4087,01
3248,02
3065,05
