zespol,slupek
1436,01
1869,01
1868,01
1740,02
1241,02
1983,02
1437,01
1436,02
1238,01
1236,02
1533,01
1236,01
1434,01
1238,02
1240,05
1538,02
1249,01
1730,02
1537,01
1740,01
1235,01
1352,01
1536,02
1729,01
1433,02
1888,01
1435,01
1785,02
1437,02
1538,03
1728,02
1535,02
1237,01
1234,02
1985,02
1249,03
1727,02
1242,01
1237,02
1407,02
1727,01
1870,01
1985,01
1240,02
1246,01
1233,02
1534,01
1434,02
1888,02
1869,02
1536,01
1729,02
1240,04
1728,01
1730,01
1540,02
1233,01
1983,01
1352,02
1241,01
1435,02
1450,04
1534,02
1246,02
1450,03
1870,02
1702,01
1535,01
1540,01
1242,02
1235,02
1533,02
1433,01
1726,01
1537,81
