zespol,slupek
4814,02
4072,02
3168,02
4073,01
4808,01
4701,02
4269,02
4807,01
3165,01
4074,01
4071,01
4816,01
4075,01
4073,02
4814,03
4809,01
4260,02
3384,02
4270,02
4264,02
4850,01
4851,01
3320,01
4813,01
4701,01
4813,02
4700,01
3165,02
4071,02
4812,02
4276,02
4275,01
4251,02
3169,07
4072,01
3169,02
4815,02
4076,02
4074,02
3321,01
4809,02
4269,01
3430,02
4076,01
4070,03
4808,02
4277,01
4264,01
4853,01
4850,02
3169,03
4807,02
4812,01
4277,02
4250,02
4855,02
4853,02
4700,02
4070,02
4270,01
4070,04
4276,01
4275,02
4251,01
4815,01
4075,02
4260,01
