zespol,slupek
1016,02
7091,01
1277,07
1307,02
1020,03
1196,02
7082,01
7082,02
1197,81
1186,02
1117,02
6075,01
1497,01
1309,02
7086,01
1230,04
7002,11
6133,04
1197,01
1195,02
1019,01
1253,04
1188,04
1190,04
1014,01
1027,01
1314,01
1298,01
1366,02
1192,02
1193,01
1195,01
7084,01
7015,02
1188,01
7084,02
1193,04
1314,02
1253,01
1024,02
R-13,00
6094,01
7014,03
1015,01
6005,02
1315,02
1018,01
1185,02
1196,01
1026,02
1187,02
7088,05
7083,02
R-13,99
7001,02
1026,01
1308,01
7085,07
7002,23
1312,02
1016,01
1310,04
1015,02
1019,02
6075,06
7091,02
1023,02
1302,03
1316,02
6005,01
1189,01
1190,01
1025,02
1550,02
1316,01
7016,04
1497,02
1189,02
1464,01
7085,02
1313,01
1185,01
7088,01
1230,01
1024,01
6094,02
1017,02
1947,11
1306,51
1023,01
1117,01
1027,02
1308,02
1298,02
1187,01
7083,01
1315,01
1025,01
1307,01
1313,03
1312,01
1311,03
6039,01
6133,03
1277,02
6039,02
1309,01
1018,02
1020,01
1017,01
7001,01
1023,03
1366,01
1310,02
1550,01
1253,09
1277,04
1186,01
