zespol,slupek
2213,02
2212,04
2430,02
2010,02
2011,02
2010,01
2049,02
2198,01
2048,01
2047,02
2459,02
2221,01
2425,01
2016,01
2167,01
2008,23
2191,02
2169,02
2185,01
2161,01
2192,02
2008,01
2188,01
2187,02
2247,01
2191,01
2018,01
2018,03
2214,02
2196,02
2193,01
2429,02
2426,02
2012,02
2221,02
R-10,00
2050,02
2194,02
2168,02
2188,02
2189,01
2189,02
2012,01
2047,01
2017,02
2164,01
2190,01
2046,01
2168,01
2194,01
2186,02
2195,02
2049,01
2014,02
2051,02
2187,01
2186,01
2160,01
2048,04
2015,06
2430,01
2196,01
2164,02
2163,01
2195,01
2258,02
2425,02
2008,16
2222,01
2185,02
2426,01
2197,02
2165,02
2197,01
2050,01
2247,02
2198,02
2017,01
2162,01
2193,02
R-10,98
2166,02
2079,02
2051,01
2165,01
2166,01
R-10,90
2190,02
2015,01
2162,02
2014,01
2169,01
2008,14
2011,01
2013,01
2167,02
2048,05
2192,01
2013,02
2046,53
