zespol,slupek
3857,02
3705,02
3897,01
3883,01
3478,02
3885,02
3896,02
3700,02
3815,02
3884,02
3757,01
3897,02
3857,01
3701,71
3167,01
3170,02
3335,01
3818,01
3898,01
3320,02
3479,02
3883,02
3707,01
3813,02
3818,02
3955,02
3816,01
3954,01
3819,03
3895,01
3814,01
3990,02
3957,02
3384,02
3478,01
3756,02
3704,01
3980,02
3955,01
3810,01
3815,01
3706,02
3168,01
3483,02
3756,01
3990,01
3899,01
3816,02
3978,01
3896,01
3814,02
3483,01
3703,03
3431,02
3886,03
3168,02
3705,03
3979,02
3701,01
3980,01
3171,01
3169,01
3898,02
3817,01
3700,01
3819,01
3479,01
3172,01
3817,02
3890,03
3884,01
3972,01
3886,01
3972,02
3819,02
3335,02
3899,02
3169,02
3706,01
3163,01
3750,06
3757,02
3704,02
3890,04
3978,02
3813,01
3707,02
3170,01
3167,03
3703,01
3885,03
