zespol,slupek
6047,05
5064,05
5004,04
5062,06
2008,07
5064,06
7003,03
2013,04
6059,05
5065,05
5037,05
5004,03
2001,05
7002,08
2131,05
2132,04
2131,07
1028,02
5040,05
2014,03
2012,03
7013,09
5067,04
7003,04
5003,04
5071,01
6025,03
2131,09
5063,06
2005,03
R-01,00
R-04,99
2133,04
2001,07
5066,01
2132,03
5071,02
6026,04
6026,03
5068,03
5070,02
2133,03
5003,07
2010,04
1001,03
4001,08
2005,04
6061,06
2008,04
4001,13
2008,06
6058,02
7041,05
2007,02
5072,02
2010,03
6024,03
5073,01
5065,06
2134,03
R-02,99
2011,03
6024,04
2251,02
5161,06
5074,02
2007,01
2014,07
5004,06
2009,01
5062,05
2002,04
6059,08
2004,03
1029,02
6058,01
2006,04
2013,03
2001,06
5161,07
5037,06
2251,01
6046,08
7002,07
6027,03
5063,07
4001,14
5073,02
R-01,99
6027,04
6025,04
2012,04
2131,06
2008,05
5066,02
2014,06
5025,04
5070,01
1028,01
1030,02
6061,07
6059,06
7041,06
2003,03
5038,03
4052,04
5069,03
1001,06
7013,10
R-02,00
4001,05
5106,06
2131,08
6059,16
7033,05
5069,04
5161,03
2002,03
5074,01
5067,03
2009,02
2006,03
2011,04
R-04,00
5025,03
5040,06
5072,01
6046,03
5161,04
7033,06
6047,06
2003,04
5106,05
4052,03
2134,04
5068,04
2004,04
