zespol,slupek
4224,05
4222,01
4877,02
4255,04
4048,01
4043,04
4116,02
4217,15
4229,01
4229,02
4099,02
4196,02
4219,02
4003,02
4337,02
4210,01
4225,02
4219,01
4218,02
4877,01
4116,01
7014,03
4193,02
4102,02
4209,02
4337,01
4102,01
4045,02
4001,04
7002,14
4110,01
4103,02
4231,03
4197,04
4123,02
4225,01
4231,01
4255,02
4001,03
R-11,00
4236,01
4051,02
4216,05
4224,03
7013,06
4231,02
4223,02
4214,04
4129,04
4043,03
4218,03
4052,02
4233,01
4051,01
7001,02
4213,03
4003,01
4220,01
4129,03
4236,02
4121,06
4047,01
4234,02
4233,02
4101,03
4044,02
4110,02
4100,01
4222,02
4214,05
7013,03
4223,01
4044,01
4230,01
4052,01
4232,02
4046,02
4220,02
4194,01
4098,02
4048,04
4047,02
4046,01
4216,06
4193,01
4262,01
4230,02
4121,01
4232,01
4213,51
4197,03
4045,05
4101,02
4103,01
4194,06
7002,02
4210,02
4123,01
4196,01
4235,02
4099,01
4195,01
4262,02
4209,01
