zespol,slupek
3321,01
7013,06
3431,01
3014,01
3039,02
7002,11
3057,02
3062,01
3097,02
3016,01
3057,01
3431,02
3160,02
7002,14
3039,01
7040,04
3019,01
7074,02
7071,06
7071,05
3059,01
3064,04
3093,02
3094,01
3011,01
3060,02
7074,01
7075,02
3320,01
3092,02
3160,01
3097,01
7073,02
3162,03
3064,03
3061,02
3279,02
3093,01
7069,01
3023,01
3058,02
7070,01
7013,15
3015,02
3019,02
3063,01
7075,01
3033,55
3279,01
3012,01
3022,02
3059,02
7033,02
3063,02
3011,05
3021,02
3021,01
3098,02
7040,03
3191,01
3169,04
3017,02
3161,02
3017,01
3012,02
3098,05
3013,01
7070,02
3191,02
3020,02
3094,02
3013,02
7073,01
3023,02
3092,01
3162,04
7069,04
3058,01
3015,01
3161,01
3322,02
3033,03
3164,02
3096,01
3018,02
3096,02
3014,02
3022,01
3020,01
3337,01
R-10,98
3060,01
3016,02
3163,03
3370,01
7033,01
3320,02
3018,01
