zespol,slupek
1277,01
1256,03
1016,02
1251,01
1405,02
1405,01
7002,03
1250,02
1253,08
1402,04
7091,02
1403,02
7083,02
1251,02
1019,02
1277,11
1020,03
7083,01
7091,01
1277,07
7084,02
6094,02
7082,02
7014,03
7085,02
7015,02
6075,01
1277,02
1195,02
1406,03
7016,04
1019,01
7084,01
R-13,00
1018,01
1014,01
1017,01
6039,01
1016,01
6005,02
1404,02
6075,06
1018,02
1256,01
6039,02
6094,01
7085,07
1219,02
1015,02
7002,23
1298,03
1015,01
1403,01
1298,02
1277,08
6133,03
1402,02
1017,02
7082,01
6005,01
7088,01
1253,02
R-13,99
7001,02
6133,04
7086,01
1406,01
1253,01
1020,01
1298,01
1195,01
1219,01
1404,01
1250,04
