zespol,slupek
2015,01
1232,04
2017,02
1231,01
2031,02
2003,02
2001,09
2025,01
2029,02
2008,01
2010,02
2027,01
2027,02
2020,01
1001,01
2011,01
2013,01
2025,02
2005,02
2002,02
2030,02
2019,02
2024,02
2029,01
1231,02
2015,03
2004,01
R-10,98
2026,02
2006,01
2012,02
2018,02
2011,02
2024,01
2014,01
2104,02
2006,02
2013,02
2032,02
2012,01
1231,03
2015,02
2028,02
2018,01
2028,01
R-10,00
2014,02
2019,01
2031,01
2026,01
2015,06
R-10,99
R-10,90
2002,01
2001,04
2010,01
2008,22
2005,01
2003,01
2004,02
2030,01
2016,01
2020,02
2017,01
