zespol,slupek
1454,02
1057,01
1235,02
1258,02
1242,02
1249,01
1456,02
1242,01
1540,02
1238,02
1454,01
1456,01
R-13,00
1458,01
1233,01
1059,01
R-13,99
1448,02
1235,01
1447,01
1455,02
1060,04
1458,02
1060,01
1140,02
1056,02
1233,02
1680,01
1236,01
1568,01
1249,02
1246,01
1679,01
1056,03
1453,02
1221,02
1452,02
1946,01
1058,02
1680,03
1455,01
1449,02
1451,01
1059,02
1238,01
1140,08
1679,02
1239,02
1450,02
1540,01
1237,02
1352,02
1140,01
1407,02
1057,02
1279,02
1239,01
1680,02
1236,02
1237,01
1058,01
1457,02
1246,02
1736,02
1449,01
1241,02
1240,01
1447,02
1241,01
1568,02
1279,01
1452,01
1352,01
1736,01
1450,01
1946,02
1240,02
1724,01
1457,01
