zespol,slupek
6158,02
6164,02
6150,01
6187,01
5034,03
6161,02
6157,01
6160,02
6165,01
6164,01
6162,02
5143,02
5035,01
6162,01
6111,02
6110,02
5034,01
5144,01
5142,01
6185,02
6202,02
5144,02
6166,02
5050,04
6184,02
6109,01
6186,02
5145,02
6165,02
6151,02
5034,71
R-11,00
6157,02
6202,01
5145,01
R-11,99
6150,02
6186,01
6163,01
6161,01
6115,02
5142,02
5050,71
5050,03
6149,02
5035,02
5143,01
6115,01
5034,02
6110,01
6149,01
6160,01
6159,01
6109,02
6158,01
6163,02
6188,02
6187,02
6151,01
6185,01
6111,01
6159,02
6188,01
