zespol,slupek
7069,01
3243,06
7013,06
3093,01
3279,01
7071,05
3261,01
3240,01
3059,02
3062,01
3033,55
3241,01
3058,02
7074,01
3011,06
7073,01
3098,02
3057,02
7033,02
3097,02
3060,01
R-10,00
3060,02
R-07,99
3064,03
3096,01
3097,01
3063,02
3093,02
7040,04
3039,02
3248,02
7071,06
3064,04
3058,01
3059,01
3279,02
3466,02
3243,01
7069,04
3098,05
3242,01
3094,01
3258,03
3094,02
3033,03
7073,02
3242,06
7075,02
7013,15
3092,01
3061,02
3337,01
3260,04
3096,02
3258,01
3057,01
7040,03
3092,02
3039,01
3063,01
7002,14
7033,01
7070,01
R-07,00
3011,05
3259,01
3248,01
3249,02
7070,02
7074,02
3249,01
7002,11
7075,01
