zespol,slupek
3323,02
3323,04
7012,01
3058,03
7013,06
7036,01
7002,16
3058,54
3323,03
3026,52
R-10,99
3427,02
3480,51
7011,02
3428,01
R-13,99
3428,02
3427,01
7012,02
3085,52
3001,58
R-10,00
3026,53
3084,51
R-13,00
7002,11
3001,56
7006,08
7006,05
3085,01
3084,02
7011,01
7013,01
