zespol,slupek
2221,02
2051,02
2313,03
7033,02
2097,03
2037,01
2052,03
2046,02
7002,25
2185,01
2042,02
2252,02
2264,02
2143,01
2146,04
2097,04
2131,02
2149,01
2313,02
7003,02
2042,01
2037,03
2018,01
2146,03
2039,02
2018,03
2048,05
2148,08
2131,01
2138,01
2144,01
2048,01
7033,01
2041,02
7041,01
2015,02
2049,01
2017,02
2144,02
2041,01
2188,04
2043,01
2140,01
7068,01
2264,01
2139,01
2040,02
2045,01
2188,02
2017,01
2044,02
2185,02
2139,02
2128,02
2050,02
2038,01
7013,06
2222,01
7013,15
R-10,90
2430,02
2221,01
2140,04
2046,01
2145,02
2138,02
2430,01
2148,05
2040,01
2016,01
2048,04
2038,02
2252,01
7068,02
7003,01
2265,02
2047,01
2043,02
2145,04
2015,03
2150,03
2051,01
2265,01
2044,01
2186,01
2187,01
2128,01
2079,02
2050,01
2045,02
2143,02
7041,02
2186,02
2047,02
2039,01
2149,03
2187,02
2049,02
