zespol,slupek
2306,02
2273,02
2117,02
2413,03
2119,01
2011,02
2346,02
2348,02
2288,01
2012,02
2277,01
2058,02
2116,04
2061,01
2012,01
2065,02
2060,02
2010,01
2119,02
2120,06
2284,01
2440,02
2059,04
2275,02
R-13,99
2287,02
2281,01
2065,01
2275,01
2066,02
2279,02
2062,02
2015,04
2306,01
2349,01
2114,01
2064,02
2015,01
2014,01
2285,01
2115,01
2347,01
2285,02
2063,02
2058,01
2276,02
2272,01
2062,01
2281,02
R-10,00
2280,01
2282,01
2013,01
2440,03
2278,02
2286,02
R-10,99
2117,01
2120,14
2060,01
2279,01
2059,01
R-10,98
2481,02
2008,08
2287,01
2118,01
R-13,00
2465,02
2278,01
2283,01
2116,02
2465,01
2348,01
2277,02
2011,01
2114,02
2276,01
2852,01
2008,22
2123,01
2010,02
2015,03
2288,02
2284,02
2347,02
2346,04
2852,02
2481,01
2118,02
2014,02
2286,01
2413,04
2008,03
2064,01
2282,02
2349,02
2273,01
2013,02
2115,02
2283,02
2346,03
2280,02
2061,02
2113,01
2272,02
R-10,90
