zespol,slupek
7002,01
2015,04
2008,22
2087,02
2008,03
2015,01
2070,08
R-10,90
2093,01
2058,01
2081,02
2073,01
2015,06
2219,02
2132,01
2092,02
2220,02
2071,01
2011,02
2134,02
2070,06
7013,15
2072,01
7033,01
2095,02
2081,01
2091,01
2074,01
2075,03
7002,02
2131,01
2074,02
2013,02
2086,03
2219,01
2090,02
2094,01
2132,02
2095,01
2085,01
2262,02
2263,02
2080,01
R-10,99
2088,01
2263,01
7003,02
2072,02
7003,01
2012,01
2012,02
2011,01
2262,01
2092,01
7041,02
7041,01
2085,02
2088,02
7033,02
2075,06
2091,02
2220,05
2134,01
2014,02
2080,02
2133,01
7013,06
2010,02
2073,02
2013,01
2093,02
7068,02
2082,01
2133,02
2059,06
2131,02
2010,01
2082,02
7068,01
2059,01
2086,01
2084,02
2075,04
2058,02
2094,02
2090,01
2014,01
2441,01
7002,25
2084,01
2087,01
