zespol,slupek
2194,02
2459,01
2224,02
R-10,90
2012,02
2196,01
2192,01
2247,01
2228,02
2010,02
2188,02
2229,02
2200,02
2861,01
2013,02
2011,01
2185,02
2196,02
2014,01
2176,01
2201,01
2240,01
2460,01
2223,01
2228,01
2015,06
2199,02
2055,02
2014,02
2224,01
2193,01
2189,02
2017,01
2227,01
2193,02
2008,14
2240,02
2057,02
2012,01
2017,02
2459,02
2231,01
2010,01
2018,03
2247,02
2229,01
2186,02
2227,02
2056,01
2190,01
2186,01
R-10,99
2254,02
2230,02
2191,02
2013,01
2055,01
2197,02
2226,02
2011,02
2223,02
2232,04
2079,02
2239,02
2198,01
2057,01
2192,02
2015,01
2225,02
2226,01
2200,01
2198,02
R-10,00
2187,01
2358,02
2018,01
2188,01
2225,01
2231,02
2185,01
2187,02
2201,02
2232,01
2230,01
2194,01
2197,01
2016,01
2195,02
2195,01
2191,01
2802,01
2453,01
2460,02
2453,02
2861,02
2189,01
2056,02
2190,02
2199,01
2008,23
