zespol,slupek
2131,04
2001,01
2139,02
2010,01
1028,04
2107,02
1028,11
1001,01
2008,22
2008,03
2413,03
2250,02
2145,02
2140,03
2150,03
1001,07
2117,01
2011,02
2252,01
2122,02
2142,02
2140,04
2119,02
2149,02
R-13,00
2010,02
2142,01
2128,01
2113,01
2143,01
2124,02
2001,02
2362,02
R-10,00
2269,02
2121,02
2102,05
2269,01
2143,02
2138,02
2113,02
2131,03
2362,01
2145,04
2252,02
2148,08
2124,01
1028,05
1001,08
2141,02
2123,02
2144,01
2120,04
2118,02
2118,01
2122,01
2121,01
2123,01
2120,14
2097,04
2119,01
2138,01
2097,03
2148,07
R-13,99
2011,01
2107,01
2141,01
2117,02
2139,01
2313,04
2313,03
2008,08
2102,04
2144,02
2128,02
2149,03
