zespol,slupek
3118,01
2012,04
2003,03
5004,03
4002,01
4003,14
2133,04
5004,04
2010,03
4011,04
7094,04
2131,07
R-01,00
4013,01
1030,02
4015,04
3240,10
1029,02
3228,03
4012,04
2003,04
7002,08
4001,06
2011,04
5037,06
5040,05
5066,01
4014,04
4137,02
2007,02
4153,01
2009,02
3240,04
7003,03
7041,06
4121,03
4003,13
2008,06
4008,03
4003,08
4028,04
2131,06
4052,03
4013,02
4121,04
7093,04
7013,09
4008,04
3118,02
7041,05
4002,02
4153,02
2131,09
4005,03
3228,04
7090,05
4003,11
4006,04
2011,03
5038,03
7013,10
3237,03
2005,04
5040,06
4010,04
4005,04
4004,03
R-03,99
5068,03
4014,03
4001,05
4003,09
2132,03
2008,11
7033,05
2131,05
3238,04
2010,04
2134,03
1028,02
3239,04
4007,03
2002,04
4003,07
2001,06
4010,03
2013,04
2133,03
2008,05
2001,07
R-01,99
2006,04
4028,03
7090,04
2004,03
R-02,99
R-03,00
2014,05
4007,04
2014,06
3237,04
2006,03
2005,03
2004,04
2001,05
1028,01
7003,04
2007,01
4001,13
5025,03
7093,03
2009,01
7002,07
2014,07
2013,03
4004,04
2134,04
2012,03
5067,03
2008,04
2002,03
R-02,00
4012,03
4052,04
7033,06
5037,05
4006,03
4001,08
3286,03
2131,08
5505,51
4137,01
3286,04
7094,03
3239,03
2132,04
5003,04
5003,07
2008,07
4015,01
1001,03
4001,14
4011,03
2251,02
1001,06
2251,01
3238,03
