zespol,slupek
7018,04
6059,03
7014,03
6055,02
7044,01
6006,03
6020,01
6004,02
R-11,99
7043,02
7051,02
7050,02
6003,07
R-11,00
6057,04
7050,01
6055,05
7019,02
6075,02
6023,01
7045,01
6006,04
6055,01
6001,01
7018,05
6097,01
6005,02
6002,02
6055,04
6061,01
6021,02
6020,02
6003,01
6001,02
R-10,98
6004,01
6015,04
7014,04
6075,01
7043,01
6059,23
7019,01
7048,01
6022,02
7002,23
6061,02
6023,04
6005,01
7046,02
7046,01
7001,02
7044,02
6021,01
7045,02
6003,02
6003,08
7048,02
6057,03
6097,02
6059,01
6002,01
7088,01
