zespol,slupek
1279,02
1242,01
1236,02
1054,01
1221,02
1058,02
1052,01
1060,04
1246,01
1059,02
1233,02
7047,01
1163,02
1241,01
1246,02
7002,21
1003,05
1279,01
1240,01
1249,02
1059,01
1055,01
1060,01
1258,02
1244,01
1352,01
1352,02
1055,02
7002,11
1407,02
7047,02
1053,02
R-13,00
1239,01
1003,04
1301,01
1056,01
1236,01
1057,02
1243,02
7015,01
1239,02
7001,01
1233,01
7016,02
1243,01
1163,01
1053,01
1054,02
1235,02
1052,02
1249,01
1238,01
1241,02
1237,02
7016,03
1056,02
1242,04
1238,02
1057,01
1058,01
1240,02
1237,01
7014,04
1235,01
7001,02
7014,03
7015,02
