brygada,czas
1,05:30:00
02,05:50:00
1,06:05:00
02,06:20:00
1,06:35:00
02,06:50:00
1,07:05:00
02,07:20:00
1,07:35:00
02,07:50:00
1,08:05:00
02,08:20:00
1,08:35:00
02,08:50:00
1,09:20:00
02,09:50:00
1,10:20:00
1,10:50:00
1,11:20:00
1,11:50:00
1,12:20:00
1,12:50:00
1,13:20:00
1,13:50:00
1,14:13:00
02,14:28:00
1,14:43:00
02,14:58:00
1,15:13:00
02,15:28:00
1,15:43:00
02,15:58:00
1,16:13:00
02,16:28:00
1,16:43:00
02,16:58:00
1,17:13:00
02,17:28:00
1,17:43:00
02,17:58:00
1,18:13:00
02,18:28:00
1,18:43:00
02,18:58:00
1,19:13:00
02,19:43:00
1,20:13:00
02,20:43:00
1,21:13:00
1,21:43:00
1,22:13:00
1,22:43:00
1,23:13:00
