brygada,czas
2,04:26:00
3,04:46:00
2,05:06:00
3,05:26:00
2,05:46:00
3,06:02:00
04,06:13:00
2,06:23:00
3,06:33:00
1,06:43:00
04,06:54:00
2,07:04:00
3,07:14:00
1,07:24:00
04,07:34:00
2,07:44:00
3,07:54:00
1,08:04:00
04,08:14:00
2,08:24:00
3,08:34:00
1,08:44:00
04,08:54:00
2,09:03:00
3,09:13:00
1,09:23:00
2,09:38:00
3,09:53:00
1,10:08:00
2,10:23:00
3,10:38:00
1,10:53:00
2,11:08:00
3,11:23:00
1,11:38:00
2,11:53:00
3,12:08:00
1,12:23:00
2,12:38:00
3,12:53:00
1,13:08:00
2,13:23:00
3,13:38:00
1,13:53:00
2,14:06:00
3,14:16:00
04,14:26:00
1,14:36:00
2,14:46:00
3,14:56:00
04,15:06:00
1,15:16:00
2,15:26:00
3,15:36:00
04,15:46:00
1,15:56:00
2,16:06:00
3,16:16:00
04,16:26:00
1,16:36:00
2,16:46:00
3,16:56:00
04,17:06:00
1,17:16:00
2,17:26:00
3,17:36:00
1,17:53:00
2,18:08:00
3,18:23:00
1,18:38:00
2,18:53:00
3,19:08:00
1,19:23:00
2,19:38:00
3,19:53:00
1,20:06:00
3,20:26:00
1,20:46:00
3,21:06:00
1,21:26:00
3,21:46:00
1,22:06:00
3,22:26:00
1,22:46:00
3,23:06:00
1,23:26:00
