brygada,czas
2,04:38:00
3,04:58:00
2,05:18:00
3,05:38:00
2,05:58:00
3,06:14:00
04,06:25:00
2,06:35:00
3,06:45:00
1,06:55:00
04,07:07:00
2,07:18:00
3,07:28:00
1,07:38:00
04,07:48:00
2,07:58:00
3,08:08:00
1,08:18:00
04,08:28:00
2,08:38:00
3,08:48:00
1,08:58:00
04,09:07:00
2,09:15:00
3,09:25:00
1,09:35:00
2,09:50:00
3,10:05:00
1,10:20:00
2,10:35:00
3,10:50:00
1,11:05:00
2,11:20:00
3,11:35:00
1,11:50:00
2,12:05:00
3,12:20:00
1,12:35:00
2,12:50:00
3,13:05:00
1,13:20:00
2,13:35:00
3,13:50:00
1,14:05:00
2,14:18:00
3,14:28:00
04,14:38:00
1,14:48:00
2,14:58:00
3,15:11:00
04,15:21:00
1,15:31:00
2,15:41:00
3,15:51:00
04,16:01:00
1,16:11:00
2,16:21:00
3,16:31:00
04,16:41:00
1,16:51:00
2,17:01:00
3,17:11:00
04,17:21:00
1,17:31:00
2,17:41:00
3,17:51:00
1,18:08:00
2,18:23:00
3,18:38:00
1,18:53:00
2,19:06:00
3,19:20:00
1,19:35:00
2,19:50:00
3,20:05:00
1,20:18:00
3,20:38:00
1,20:58:00
3,21:18:00
1,21:38:00
3,21:58:00
1,22:18:00
3,22:38:00
1,22:58:00
3,23:18:00
1,23:38:00
