brygada,czas
1,05:38:00
02,05:58:00
1,06:13:00
02,06:28:00
1,06:43:00
02,06:58:00
1,07:13:00
02,07:28:00
1,07:43:00
02,07:58:00
1,08:13:00
02,08:28:00
1,08:43:00
02,08:58:00
1,09:28:00
02,09:58:00
1,10:28:00
1,10:58:00
1,11:28:00
1,11:58:00
1,12:28:00
1,12:58:00
1,13:28:00
1,13:58:00
02,14:13:00
1,14:28:00
02,14:43:00
1,14:58:00
02,15:13:00
1,15:28:00
02,15:43:00
1,15:58:00
02,16:13:00
1,16:28:00
02,16:43:00
1,16:58:00
02,17:13:00
1,17:28:00
02,17:43:00
1,17:58:00
02,18:13:00
1,18:28:00
02,18:43:00
1,18:58:00
02,19:28:00
1,19:58:00
02,20:28:00
1,20:58:00
1,21:28:00
1,21:58:00
1,22:28:00
1,22:58:00
1,23:28:00
