brygada,czas
2,04:20:00
3,04:40:00
2,05:00:00
3,05:20:00
2,05:40:00
3,05:56:00
04,06:07:00
2,06:17:00
3,06:27:00
1,06:37:00
04,06:48:00
2,06:58:00
3,07:08:00
1,07:18:00
04,07:28:00
2,07:38:00
3,07:48:00
1,07:58:00
04,08:08:00
2,08:18:00
3,08:28:00
1,08:38:00
04,08:48:00
2,08:57:00
3,09:07:00
1,09:17:00
2,09:32:00
3,09:47:00
1,10:02:00
2,10:17:00
3,10:32:00
1,10:47:00
2,11:02:00
3,11:17:00
1,11:32:00
2,11:47:00
3,12:02:00
1,12:17:00
2,12:32:00
3,12:47:00
1,13:02:00
2,13:17:00
3,13:32:00
1,13:47:00
2,14:00:00
3,14:10:00
04,14:20:00
1,14:30:00
2,14:40:00
3,14:50:00
04,15:00:00
1,15:10:00
2,15:20:00
3,15:30:00
04,15:40:00
1,15:50:00
2,16:00:00
3,16:10:00
04,16:20:00
1,16:30:00
2,16:40:00
3,16:50:00
04,17:00:00
1,17:10:00
2,17:20:00
3,17:30:00
1,17:47:00
2,18:02:00
3,18:17:00
1,18:32:00
2,18:47:00
3,19:02:00
1,19:17:00
2,19:32:00
3,19:47:00
1,20:00:00
3,20:20:00
1,20:40:00
3,21:00:00
1,21:20:00
3,21:40:00
1,22:00:00
3,22:20:00
1,22:40:00
3,23:00:00
1,23:20:00
