brygada,czas
1,04:26:00
2,04:56:00
3,05:13:00
460,05:23:00
5,05:33:00
011,05:38:00
461,05:43:00
010,05:48:00
08,05:53:00
011,05:58:00
09,06:03:00
012,06:08:00
2,06:13:00
011,06:18:00
1,06:23:00
010,06:28:00
460,06:33:00
011,06:38:00
6,06:43:00
012,06:48:00
3,06:53:00
011,06:58:00
461,07:03:00
010,07:09:00
08,07:14:00
012,07:19:00
5,07:24:00
011,07:29:00
2,07:34:00
012,07:39:00
09,07:44:00
010,07:48:00
460,07:54:00
012,07:59:00
1,08:04:00
011,08:09:00
3,08:14:00
010,08:19:00
6,08:24:00
012,08:29:00
08,08:34:00
010,08:39:00
5,08:44:00
011,08:49:00
461,08:54:00
010,08:58:00
09,09:05:00
012,09:09:00
2,09:19:00
010,09:24:00
1,09:34:00
011,09:39:00
460,09:49:00
012,09:54:00
6,10:04:00
3,10:19:00
461,10:34:00
5,10:49:00
1,11:04:00
2,11:19:00
6,11:34:00
460,11:49:00
461,12:04:00
3,12:19:00
1,12:34:00
5,12:49:00
6,13:04:00
2,13:19:00
461,13:34:00
460,13:49:00
1,14:04:00
3,14:19:00
6,14:33:00
5,14:47:00
461,14:57:00
460,15:08:00
2,15:18:00
1,15:28:00
3,15:38:00
08,15:48:00
6,15:58:00
5,16:08:00
09,16:18:00
460,16:28:00
2,16:38:00
461,16:48:00
011,16:53:00
3,16:58:00
08,17:08:00
1,17:18:00
5,17:28:00
09,17:38:00
6,17:48:00
2,17:58:00
461,18:08:00
460,18:18:00
3,18:28:00
08,18:38:00
011,18:48:00
5,18:58:00
09,19:07:00
1,19:17:00
2,19:27:00
461,19:37:00
6,19:50:00
3,20:05:00
460,20:20:00
5,20:35:00
011,20:50:00
461,21:05:00
2,21:21:00
3,21:41:00
460,22:01:00
461,22:26:00
2,22:56:00
