brygada,czas
3,04:54:00
4,05:14:00
7,05:29:00
1,05:44:00
08,05:59:00
2,06:14:00
011,06:22:00
3,06:29:00
012,06:37:00
4,06:46:00
013,06:52:00
5,06:59:00
014,07:05:00
6,07:13:00
015,07:19:00
7,07:26:00
016,07:32:00
1,07:38:00
011,07:44:00
08,07:51:00
012,07:57:00
2,08:03:00
013,08:10:00
3,08:18:00
014,08:25:00
4,08:33:00
015,08:40:00
5,08:47:00
016,08:54:00
6,09:03:00
7,09:16:00
1,09:31:00
08,09:46:00
2,10:01:00
3,10:16:00
4,10:31:00
5,10:46:00
6,11:01:00
7,11:16:00
1,11:31:00
2,11:46:00
3,12:01:00
4,12:16:00
5,12:31:00
6,12:46:00
7,13:01:00
1,13:16:00
2,13:31:00
3,13:46:00
4,14:01:00
5,14:15:00
6,14:30:00
7,14:45:00
1,15:00:00
015,15:10:00
08,15:17:00
011,15:25:00
2,15:32:00
012,15:40:00
3,15:47:00
013,15:55:00
4,16:02:00
014,16:10:00
5,16:17:00
015,16:25:00
6,16:32:00
011,16:40:00
7,16:47:00
012,16:55:00
1,17:02:00
013,17:10:00
08,17:17:00
014,17:25:00
2,17:32:00
015,17:40:00
3,17:47:00
011,17:55:00
4,18:02:00
012,18:09:00
5,18:16:00
013,18:24:00
6,18:31:00
014,18:39:00
7,18:46:00
015,18:54:00
1,19:01:00
011,19:08:00
08,19:15:00
2,19:30:00
3,19:45:00
4,20:00:00
5,20:14:00
6,20:29:00
7,20:44:00
1,20:59:00
2,21:14:00
4,21:29:00
5,21:44:00
6,21:59:00
7,22:14:00
1,22:34:00
2,22:54:00
4,23:24:00
