brygada,czas
6,04:51:00
9,05:11:00
1,05:31:00
3,05:50:00
4,06:09:00
010,06:23:00
5,06:35:00
6,06:47:00
7,06:59:00
8,07:11:00
011,07:23:00
9,07:36:00
1,07:48:00
2,08:00:00
3,08:14:00
4,08:29:00
5,08:44:00
6,08:59:00
7,09:13:00
8,09:28:00
9,09:43:00
1,09:58:00
2,10:13:00
3,10:28:00
4,10:43:00
5,10:58:00
6,11:13:00
7,11:28:00
8,11:43:00
9,11:58:00
1,12:13:00
2,12:28:00
3,12:43:00
4,12:58:00
5,13:13:00
6,13:28:00
7,13:43:00
8,13:58:00
9,14:13:00
1,14:27:00
010,14:39:00
2,14:50:00
3,15:02:00
4,15:14:00
5,15:26:00
011,15:38:00
6,15:50:00
7,16:02:00
8,16:14:00
9,16:26:00
1,16:38:00
010,16:50:00
2,17:02:00
3,17:14:00
4,17:27:00
5,17:42:00
011,17:57:00
6,18:12:00
7,18:27:00
9,18:42:00
1,18:57:00
010,19:12:00
2,19:27:00
3,19:42:00
4,19:57:00
5,20:12:00
011,20:27:00
6,20:42:00
7,20:57:00
9,21:11:00
1,21:26:00
2,21:51:00
4,22:21:00
6,22:51:00
7,23:21:00
2,23:51:00
