brygada,czas
1,05:35:00
02,05:55:00
1,06:10:00
02,06:25:00
1,06:40:00
02,06:55:00
1,07:10:00
02,07:25:00
1,07:40:00
02,07:55:00
1,08:10:00
02,08:25:00
1,08:40:00
02,08:55:00
1,09:25:00
02,09:55:00
1,10:25:00
1,10:55:00
1,11:25:00
1,11:55:00
1,12:25:00
1,12:55:00
1,13:25:00
1,13:55:00
02,14:10:00
1,14:25:00
02,14:40:00
1,14:55:00
02,15:10:00
1,15:25:00
02,15:40:00
1,15:55:00
02,16:10:00
1,16:25:00
02,16:40:00
1,16:55:00
02,17:10:00
1,17:25:00
02,17:40:00
1,17:55:00
02,18:10:00
1,18:25:00
02,18:40:00
1,18:55:00
02,19:25:00
1,19:55:00
02,20:25:00
1,20:55:00
1,21:25:00
1,21:55:00
1,22:25:00
1,22:55:00
1,23:25:00
