brygada,czas
2,04:31:00
3,04:51:00
2,05:11:00
3,05:31:00
2,05:51:00
3,06:07:00
04,06:18:00
2,06:28:00
3,06:38:00
1,06:48:00
04,06:59:00
2,07:09:00
3,07:19:00
1,07:29:00
04,07:39:00
2,07:49:00
3,07:59:00
1,08:09:00
04,08:19:00
2,08:29:00
3,08:39:00
1,08:49:00
04,08:59:00
2,09:08:00
3,09:18:00
1,09:28:00
2,09:43:00
3,09:58:00
1,10:13:00
2,10:28:00
3,10:43:00
1,10:58:00
2,11:13:00
3,11:28:00
1,11:43:00
2,11:58:00
3,12:13:00
1,12:28:00
2,12:43:00
3,12:58:00
1,13:13:00
2,13:28:00
3,13:43:00
1,13:58:00
2,14:11:00
3,14:21:00
04,14:31:00
1,14:41:00
2,14:51:00
3,15:01:00
04,15:11:00
1,15:21:00
2,15:31:00
3,15:41:00
04,15:51:00
1,16:01:00
2,16:11:00
3,16:21:00
04,16:31:00
1,16:41:00
2,16:51:00
3,17:01:00
04,17:11:00
1,17:21:00
2,17:31:00
3,17:41:00
1,17:58:00
2,18:13:00
3,18:28:00
1,18:43:00
2,18:58:00
3,19:13:00
1,19:28:00
2,19:43:00
3,19:58:00
1,20:11:00
3,20:31:00
1,20:51:00
3,21:11:00
1,21:31:00
3,21:51:00
1,22:11:00
3,22:31:00
1,22:51:00
3,23:11:00
1,23:31:00
