brygada,czas
1,05:27:00
02,05:47:00
1,06:02:00
02,06:17:00
1,06:32:00
02,06:47:00
1,07:02:00
02,07:17:00
1,07:32:00
02,07:47:00
1,08:02:00
02,08:17:00
1,08:32:00
02,08:47:00
1,09:17:00
02,09:47:00
1,10:17:00
1,10:47:00
1,11:17:00
1,11:47:00
1,12:17:00
1,12:47:00
1,13:17:00
1,13:47:00
1,14:10:00
02,14:25:00
1,14:40:00
02,14:55:00
1,15:10:00
02,15:25:00
1,15:40:00
02,15:55:00
1,16:10:00
02,16:25:00
1,16:40:00
02,16:55:00
1,17:10:00
02,17:25:00
1,17:40:00
02,17:55:00
1,18:10:00
02,18:25:00
1,18:40:00
02,18:55:00
1,19:10:00
02,19:40:00
1,20:10:00
02,20:40:00
1,21:10:00
1,21:40:00
1,22:10:00
1,22:40:00
1,23:10:00
