brygada,czas
18,05:05:00
17,06:03:00
18,07:04:00
17,08:05:00
18,09:05:00
17,10:03:00
18,11:03:00
17,12:04:00
18,13:03:00
17,14:04:00
18,15:03:00
17,16:04:00
18,17:04:00
17,18:03:00
18,19:04:00
17,20:07:00
18,21:04:00
17,22:02:00
14,22:48:00
18,23:23:00
