brygada,czas
4,04:14:00
5,04:44:00
7,05:08:00
1,05:33:00
2,05:43:00
3,05:56:00
010,06:08:00
4,06:19:00
5,06:30:00
011,06:40:00
6,06:50:00
7,07:01:00
8,07:11:00
9,07:21:00
1,07:31:00
2,07:43:00
3,07:55:00
010,08:07:00
4,08:19:00
5,08:31:00
011,08:43:00
6,08:55:00
7,09:10:00
8,09:25:00
9,09:40:00
1,09:55:00
2,10:06:00
3,10:21:00
4,10:36:00
5,10:51:00
6,11:06:00
7,11:21:00
8,11:36:00
9,11:51:00
1,12:06:00
2,12:21:00
3,12:36:00
4,12:51:00
5,13:06:00
6,13:21:00
7,13:36:00
8,13:51:00
9,14:06:00
1,14:21:00
2,14:36:00
3,14:51:00
010,15:06:00
4,15:21:00
5,15:36:00
6,15:51:00
7,16:06:00
8,16:21:00
9,16:36:00
1,16:51:00
2,17:06:00
3,17:21:00
010,17:36:00
4,17:51:00
5,18:06:00
6,18:21:00
7,18:36:00
8,18:51:00
9,19:06:00
1,19:21:00
2,19:36:00
3,19:51:00
4,20:06:00
5,20:21:00
6,20:36:00
7,20:53:00
8,21:12:00
9,21:32:00
3,21:49:00
5,22:14:00
6,22:44:00
9,23:14:00
3,23:44:00
