brygada,czas
1,05:29:00
02,05:49:00
1,06:04:00
02,06:19:00
1,06:34:00
02,06:49:00
1,07:04:00
02,07:19:00
1,07:34:00
02,07:49:00
1,08:04:00
02,08:19:00
1,08:34:00
02,08:49:00
1,09:19:00
02,09:49:00
1,10:19:00
1,10:49:00
1,11:19:00
1,11:49:00
1,12:19:00
1,12:49:00
1,13:19:00
1,13:49:00
1,14:12:00
02,14:27:00
1,14:42:00
02,14:57:00
1,15:12:00
02,15:27:00
1,15:42:00
02,15:57:00
1,16:12:00
02,16:27:00
1,16:42:00
02,16:57:00
1,17:12:00
02,17:27:00
1,17:42:00
02,17:57:00
1,18:12:00
02,18:27:00
1,18:42:00
02,18:57:00
1,19:12:00
02,19:42:00
1,20:12:00
02,20:42:00
1,21:12:00
1,21:42:00
1,22:12:00
1,22:42:00
1,23:12:00
