brygada,czas
09,04:53:00
08,05:07:00
5,05:21:00
6,05:36:00
07,05:51:00
1,06:04:00
2,06:19:00
3,06:34:00
4,06:49:00
09,07:05:00
08,07:19:00
5,07:33:00
6,07:49:00
07,08:04:00
1,08:19:00
2,08:34:00
3,08:47:00
4,09:04:00
08,09:19:00
5,09:36:00
6,09:56:00
1,10:16:00
2,10:36:00
3,10:56:00
4,11:16:00
5,11:36:00
6,11:56:00
1,12:16:00
2,12:36:00
3,12:56:00
4,13:16:00
5,13:36:00
6,13:56:00
1,14:16:00
08,14:34:00
2,14:49:00
07,15:03:00
3,15:19:00
4,15:34:00
5,15:49:00
6,16:04:00
09,16:19:00
1,16:34:00
08,16:49:00
2,17:04:00
07,17:19:00
3,17:34:00
4,17:49:00
5,18:03:00
6,18:18:00
09,18:33:00
1,18:48:00
08,19:04:00
2,19:18:00
3,19:37:00
4,19:57:00
5,20:17:00
6,20:37:00
1,20:59:00
2,21:19:00
3,21:39:00
4,21:59:00
295,22:22:00
1,22:52:00
2,23:23:00
