brygada,czas
541,04:38:00
543,05:01:00
544,05:21:00
541,05:36:00
542,05:51:00
543,06:09:00
544,06:24:00
541,06:39:00
542,06:54:00
545,07:09:00
546,07:24:00
547,07:39:00
548,07:54:00
779,08:09:00
780,08:24:00
543,08:39:00
544,08:54:00
541,09:09:00
542,09:25:00
545,09:45:00
546,10:05:00
547,10:25:00
548,10:45:00
545,11:05:00
546,11:25:00
547,11:45:00
548,12:05:00
545,12:25:00
546,12:45:00
547,13:05:00
548,13:25:00
545,13:45:00
546,14:00:00
547,14:15:00
09,14:30:00
548,14:45:00
545,15:00:00
546,15:15:00
547,15:30:00
09,15:45:00
548,16:00:00
545,16:15:00
546,16:30:00
547,16:45:00
09,17:00:00
548,17:15:00
545,17:30:00
546,17:45:00
547,18:00:00
09,18:15:00
548,18:30:00
545,18:45:00
546,19:05:00
547,19:25:00
548,19:45:00
545,20:05:00
546,20:25:00
547,20:45:00
548,21:04:00
545,21:24:00
546,21:44:00
548,22:08:00
546,22:38:00
548,23:08:00
546,23:38:00
