brygada,czas
03,05:08:00
1,05:35:00
03,05:50:00
1,06:05:00
03,06:20:00
1,06:35:00
03,06:50:00
472,07:00:00
1,07:10:00
03,07:20:00
472,07:30:00
1,07:40:00
03,07:50:00
472,08:00:00
1,08:10:00
03,08:20:00
472,08:30:00
1,08:40:00
03,08:50:00
472,09:00:00
1,09:18:00
472,09:38:00
1,09:58:00
472,10:18:00
1,10:38:00
472,10:58:00
1,11:18:00
472,11:38:00
1,11:58:00
472,12:18:00
1,12:38:00
472,12:58:00
1,13:18:00
472,13:38:00
1,13:58:00
472,14:18:00
1,14:35:00
472,14:50:00
1,15:05:00
472,15:20:00
1,15:35:00
472,15:50:00
1,16:05:00
472,16:20:00
1,16:35:00
472,16:50:00
1,17:05:00
472,17:20:00
1,17:35:00
472,17:50:00
1,18:05:00
472,18:20:00
1,18:38:00
472,18:58:00
1,19:18:00
472,19:38:00
1,19:58:00
472,20:18:00
1,20:38:00
472,20:58:00
1,21:18:00
472,21:38:00
1,22:08:00
472,22:38:00
472,23:08:00
472,23:38:00
