brygada,czas
1,05:31:00
02,05:51:00
1,06:06:00
02,06:21:00
1,06:36:00
02,06:51:00
1,07:06:00
02,07:21:00
1,07:36:00
02,07:51:00
1,08:06:00
02,08:21:00
1,08:36:00
02,08:51:00
1,09:21:00
02,09:51:00
1,10:21:00
1,10:51:00
1,11:21:00
1,11:51:00
1,12:21:00
1,12:51:00
1,13:21:00
1,13:51:00
1,14:14:00
02,14:29:00
1,14:44:00
02,14:59:00
1,15:14:00
02,15:29:00
1,15:44:00
02,15:59:00
1,16:14:00
02,16:29:00
1,16:44:00
02,16:59:00
1,17:14:00
02,17:29:00
1,17:44:00
02,17:59:00
1,18:14:00
02,18:29:00
1,18:44:00
02,18:59:00
1,19:14:00
02,19:44:00
1,20:14:00
02,20:44:00
1,21:14:00
1,21:44:00
1,22:14:00
1,22:44:00
1,23:14:00
